,quotes,author
0,“A simple smile. That’s the start of opening your heart and being compassionate to others. “ – Dalai Lama, – Dalai Lama
1,"“Because of your smile, you make life more beautiful.” – Thich Nhat Hanh", – Thich Nhat Hanh
2,"“Don’t cry because it’s over, smile because it happened.” – Dr. Seuss", – Dr. Seuss
3,"eval(ez_write_tag([[250,250],'keepinspiring_me-medrectangle-4','ezslot_9',183,'0','0']));“The greatest self is a peaceful smile, that always sees the world smiling back.” – Bryant H. McGill", – Bryant H. McGill
4,"“If you’re reading this… Congratulations, you’re alive. If that’s not something to smile about, then I don’t know what is.” – Chad Sugg", – Chad Sugg
5,“I love those who can smile in trouble.” – Leonardo da Vinci, – Leonardo da Vinci
6,"“A smile is the best makeup any girl can wear.” – Marilyn Monroe

“A warm smile is the universal language of kindness.” – William Arthur Ward
"," – Marilyn Monroe
"
7,“A smile is happiness you’ll find right under your nose. “ – Tom Wilson, – Tom Wilson
8,“A smile doesn’t always stand for a perfect life.” – Faraaz Kazi, – Faraaz Kazi
9,"“A gentle word, a kind look, a good-natured smile can work wonders and accomplish miracles.” – William Hazlitt", – William Hazlitt
10,"“When things are difficult, smile by faith. Don’t wait until you feel better.” – Joel Osteen", – Joel Osteen
11,"“The robbed that smiles, steals something from the thief.” – William Shakespeare", – William Shakespeare
12,"“Smiling is definitely one of the best beauty remedies. If you have a good sense of humor and a good approach to life, that’s beautiful.” – Rashida Jones




“Smile, it’s free therapy.” – Douglas Horton
"," – Rashida Jones
"
13,"“Lighten up, just enjoy life, smile more, laugh more, and don’t get so worked up about things.” – Kenneth Branagh", – Kenneth Branagh
14,"“Smile, smile, smile at your mind as often as possible. Your smiling will considerably reduce your mind’s tearing tension.” – Sri Chinmoy", – Sri Chinmoy
15,"eval(ez_write_tag([[300,250],'keepinspiring_me-box-4','ezslot_10',185,'0','0']));“Sometimes your joy is the source of your smile, but sometimes your smile can be the source of your joy.” – Thich Nhat Hanh", – Thich Nhat Hanh
16,"“I eat every two hours. I sleep for eight hours. I have lots of water. I pray to keep calm. Most importantly, I have a smile on my face.” – Vidya Balan", – Vidya Balan
17,“Use your smile to change the world; don’t let the world change your smile.” – Chinese Proverb, – Chinese Proverb
18,"“Maman told me that every time you smile, a very tiny bit of the smile stays stuck to your face, so as you get older and older your face starts to show all the tiny bits of all your smiles and you look like you are smiling all the time, even when you are just thinking about what to have for breakfast. She said, also, that if you frown a lot then the frown sticks to your face instead. That way when you are old you have a very frowny face and look cross all the time and people are scared of you.” – Claire King", – Claire King
19,“You shouldn’t never regret something that made you smile.” – Mei Maejor, – Mei Maejor
20,"“Smiling is the best way to face every problem, to crush every fear and to hide every pain.” – Unknown", – Unknown
21,“That smile could move mountains. It could also break hearts. “ – Kylie Scott, – Kylie Scott
22,"“Teeth aren’t pearly, until you smile.” – Anthony Liccione", – Anthony Liccione
23,“Encouragement to others is something everyone can give. Somebody needs what you have to give. It may not be your money; it may be your time. It may be your listening ear. It may be your arms to encourage. It may be your smile to uplift. Who knows?” – Joel Osteen, – Joel Osteen
24,"“Always find opportunities to make someone smile, and to offer random acts of kindness in everyday life.” – Roy T. Bennett", – Roy T. Bennett
25,"“Be the living expression of God’s kindness; kindness in your face, kindness in your eyes, kindness in your smile” – Mother Teresa", – Mother Teresa
26,“Smile more. Smiling can make you and others happy.” – Roy T. Bennett, – Roy T. Bennett
27,“Everyone smiles in the same language.” – George Carlin, – George Carlin
28,“Strong people are ones who can smile for others’ happiness.” – Veronica Purcell, – Veronica Purcell
29,"“You’ll find that life is still worthwhile, if you just smile.” – Charlie Chaplin", – Charlie Chaplin
30,"“Look back, and smile on perils past.” – Walter Scott", – Walter Scott
31,“Children show me in their playful smiles the divine in everyone.” – Michael Jackson, – Michael Jackson
32,"eval(ez_write_tag([[468,60],'keepinspiring_me-banner-1','ezslot_7',188,'0','0']));“Wrinkles should merely indicate where smiles have been.” – Mark Twain", – Mark Twain
33,“It’s hard not to feel happy when you make someone smile.” – Roy T. Bennett, – Roy T. Bennett
34,“Share your smile with the world. It’s a symbol of friendship and peace.” – Christie Brinkley, – Christie Brinkley
35,"“Let us always meet each other with a smile, for the smile is the beginning of love.” – Mother Teresa", – Mother Teresa
36,"eval(ez_write_tag([[300,250],'keepinspiring_me-large-leaderboard-2','ezslot_6',189,'0','0']));“Everytime you smile at someone, it is an action of love, a gift to that person, a beautiful thing.” – Mother Teresa", – Mother Teresa
37,"“I am intrigued by the smile upon your face, and the sadness within your eyes.” – Jeremy Aldana", – Jeremy Aldana
38,“I can sing and dance. I can smile – a lot.” – Chris Colfer, – Chris Colfer
39,"“If you smile when you are alone, then you really mean it.” – Andy Rooney", – Andy Rooney
40,“Never regret anything that made you smile.” – Mark Twain, – Mark Twain
41,“A smiling face is a beautiful face. A smiling heart is a happy heart.” – Dr. T.P. Chia, – Dr. T.P. Chia
42,"“The people who make you smile from just seeing them, those are my favorite people.” – Koi Fresco", – Koi Fresco
43,“Keep a smile on your face and let your personality be your autograph.” – Unknown, – Unknown
44,"“When life gives you a hundred reasons to cry, show life that you have a thousand reasons to smile. “ – Unknown", – Unknown
45,“Nothing shakes the smiling heart.” – Santosh Kalwar, – Santosh Kalwar
46,"“It only takes a split second to smile and forget, yet to someone that needed it, it can last a lifetime.” – Steve Maraboli", – Steve Maraboli
47,"eval(ez_write_tag([[580,400],'keepinspiring_me-leader-1','ezslot_8',191,'0','0']));“Nothing you wear is more important than your smile.” – Connie Stevens", – Connie Stevens
48,“Smile! It increases your face value.” – Robert Harling, – Robert Harling
49,"“Smile at the obstacle, for it is a bridge.” – Medusa", – Medusa
50,“A smile is the best way to get away with trouble even if it’s a fake one.” – Masashi Kishimoto, – Masashi Kishimoto
51,"“If you’re not using your smile, you’re like a man with a million dollars in the bank and no checkbook.” – Les Giblin", – Les Giblin
52,“Smile in the mirror. Do that every morning and you’ll start to see a big difference in your life.” – Yoko Ono, – Yoko Ono
53,"“You haven’t lost your smile at all, it’s right under your nose. You just forgot it was there.” – Anonymous", – Anonymous
